ID,Nom,Lat,Lon,Date
1,Citeaux,47.1259,5.1208,1098
2,La Ferte,46.6667,4.8467,1113
3,Pontigny,47.9063,3.7415,1114
4,Clairvaux,48.1434,4.817,1115
5,Morimond,48.0045,5.6727,1115
6,Preuilly,48.443,3.1393,1118
7,Trois-Fontaines,48.7145,4.9765,1118
8,La Cour-Dieu,48.0026,2.2249,1119
9,Bonnevaux Dauphine,45.453,5.1825,1119
10,Bourras,47.2924,3.3249,1119
11,Cadouin,44.8076,0.9011,1119
12,Fontenay,47.6363,4.417,1119
13,Bellevaux,47.4011,6.1477,1119
14,Tiglieto,44.519,8.6311,1120
15,Mazan,44.7253,4.1161,1120
16,Aumone,47.8705,1.4059,1121
17,La Crete,48.2044,5.3459,1121
18,Foigny,49.889,4.0016,1121
19,Louroux,47.4182,0.0534,1121
20,Kamp,51.4995,6.5432,1123
21,Gondon,44.5143,0.5613,1123
22,Lucedio,45.238056,8.2325,1124
23,Lucelle,47.419,7.365,1124
24,Fontainejean,47.8448,2.9879,1124
25,Jouy,48.6439,3.2065,1124
26,Bonnevaux Poitou,46.4811,0.2584,1124
27,Montpeyroux,45.938,3.5476,1126
28,Ebrach,49.844,10.5225,1126
29,Igny,49.2068,3.7127,1127
30,Lachalade,49.1619,4.9864,1128
31,Reigny,47.6424,3.7549,1128
32,Walkenried,51.58,10.6466,1129
33,Loroy,47.3163,2.4457,1129
34,Vauluisant,48.2611,3.5647,1129
35,Landais,47.0021,1.2991,1129
36,Waverley,51.1968,-0.7316,1129
37,Ourscamp,49.5314,3,1129
38,Rein,47.1315,15.312,1130
39,Begard,48.6271,-3.2689,1130
40,Neubourg,48.8369,7.7098,1130
41,Bussiere,47.2129,4.748,1130
42,Theuley,47.5377,5.5483,1131
43,Tintern,51.6941,-2.6491,1131
44,Cherlieu,47.7782,5.8526,1131
45,Bonmont,46.3997,6.1764,1131
46,Echarlis,47.9616,3.1833,1131
47,Le Miroir,46.5378,5.3364,1131
48,Eberbach,50.0402,8.0737,1131
49,Volkenroda,51.2476,10.5953,1131
50,Sestri Ponente,44.414,8.8895,1131
51,Longpont,49.2693,3.2483,1131
52,Rievaulx,54.2548,-1.0892,1131
53,Orval,49.6365,5.3764,1132
54,Moreruela,41.8086,-5.7498,1132
55,Saint-Benoit-en-Woevre,48.9848,5.8128,1132
56,Clairefontaine en Franche-Comte,47.8814,6.0981,1132
57,Relec,48.4457,-3.7975,1132
58,Vaucelles,50.075,3.2518,1132
59,Sept-Fons,46.5413,3.7329,1132
60,Pforta,51.1392,11.7801,1132
61,Rosieres,46.9538,5.6791,1132
62,Maizieres,46.9447,4.9143,1132
63,Villers-Bettnach,49.2307,6.3892,1132
64,Vaux en Ornois,48.58,5.3229,1132
65,Saint-Sulpice,45.9019,5.6061,1132
66,Quincy,47.8593,4.1302,1133
67,Heilsbronn,49.3346,10.8195,1132
68,Bithaine,47.6921,6.3951,1133
69,Langheim,50.1091,11.1376,1133
70,Altenberg,51.0517,7.1603,1133
71,Waldsassen,50.0007,12.337,1133
72,Garendon,52.7716,-1.2303,1133
73,Charite,47.5147,5.9633,1133
74,Tamie,45.6836,6.3317,1134
75,Himmerod,50.0248,6.7842,1134
76,Pontron,47.5192,-0.8574,1134
77,Vauclair,49.4499,3.7733,1134
78,Kaisheim,48.7637,10.8257,1134
79,Morimondo,45.3482,8.9547,1134
80,Lieu-Croissant,47.2949,6.3621,1134
81,Beaupre en Lorraine,48.5504,6.5604,1134
82,Signy,49.698,4.4496,1134
83,Montheron,46.5867,6.6914,1135
84,La Grace-Dieu Aunis,46.2008,-0.8142,1135
85,Hautecombe,45.7493,5.8382,1135
86,Buzay,47.2034,-1.7975,1135
87,Staffarda,44.7174,7.4369,1135
88,Heiligenkreuz,48.052,16.1595,1135
89,Fountains,54.1068,-1.5541,1135
90,Fossanova,41.4344,13.2232,1135
91,Amelungsborn,51.8942,9.6206,1135
92,Beaupre en Picardie,49.5605,1.9921,1135
93,Chiaravalle Milanese,45.4124,9.2371,1135
